model,condition,gold_count_group,n,estimator,mean_gold_recall_5,mean_distinct_gold_recovered_5,graded_equal,graded_no_empty_reward,graded_operation_filter_weighted
qwen3,direct-basic,all,150,design-weighted,0.010086551264980025,0.02689747003994674,0.7100085631067657,0.5601688440892835,0.68274345856308
qwen3,direct-basic,1,1,raw descriptive,0.0,0,1.0,0.8,1.0
qwen3,direct-basic,2,71,raw descriptive,0.014084507042253521,0.028169014084507043,0.710355466130114,0.558242790073776,0.6827153396569896
qwen3,direct-basic,3,33,raw descriptive,0.0,0,0.6818181818181818,0.5484848484848485,0.652958152958153
qwen3,direct-basic,4,21,raw descriptive,0.023809523809523808,0.09523809523809523,0.702312925170068,0.5689795918367346,0.6637836086815678
qwen3,direct-basic,5,24,raw descriptive,0.0,0,0.7416666666666667,0.5666666666666667,0.7261904761904762
qwen3,direct-basic,multi,149,raw descriptive,0.010067114093959731,0.026845637583892617,0.7079450303611378,0.5589517417705337,0.680459297813085
qwen3,direct-rich,all,150,design-weighted,0.0033621837549933425,0.01344873501997337,0.7147808513797196,0.5622647009374706,0.6866766369079952
qwen3,direct-rich,1,1,raw descriptive,0.0,0,1.0,0.8,1.0
qwen3,direct-rich,2,71,raw descriptive,0.0,0,0.7068142186452046,0.5490677397719651,0.6768324231100891
qwen3,direct-rich,3,33,raw descriptive,0.0,0,0.6989898989898989,0.5656565656565656,0.6717171717171717
qwen3,direct-rich,4,21,raw descriptive,0.023809523809523808,0.09523809523809523,0.6924716553287982,0.5591383219954649,0.6556203433754454
qwen3,direct-rich,5,24,raw descriptive,0.0,0,0.7677777777777778,0.5927777777777777,0.7498015873015873
qwen3,direct-rich,multi,149,raw descriptive,0.003355704697986577,0.013422818791946308,0.7128795142217961,0.5612016618728028,0.6844633155275534
qwen3,staged,all,150,design-weighted,0.04465002719330283,0.13613523072577666,0.7319606942596292,0.583306061793412,0.7070628619648974
qwen3,staged,1,1,raw descriptive,1.0,1,1.0,0.8,1.0
qwen3,staged,2,71,raw descriptive,0.02112676056338028,0.04225352112676056,0.7229242119382965,0.5736284372904091,0.6988023378365431
qwen3,staged,3,33,raw descriptive,0.050505050505050504,0.15151515151515152,0.7228282828282828,0.5834343434343434,0.7031746031746031
qwen3,staged,4,21,raw descriptive,0.047619047619047616,0.19047619047619047,0.7073922902494331,0.5740589569160998,0.665144152899255
qwen3,staged,5,24,raw descriptive,0.058333333333333334,0.2916666666666667,0.7755555555555556,0.6088888888888889,0.7543650793650793
qwen3,staged,multi,149,raw descriptive,0.03736017897091722,0.12751677852348994,0.729191434963247,0.5815404282518376,0.7039766242067297
