record_id,model,condition,gold_family,response_parseable,any_renderer_executable,top1_renderer_executable,renderer_executable_fraction,top1_registered_compliant,registered_compliant_fraction,candidate_count
nvbench2:dev:381,gemma3:27b,direct_rich,rect,1.0,1.0,1.0,1.0,0.0,0.0,2
nvbench2:dev:383,gemma3:27b,direct_rich,rect,1.0,1.0,1.0,1.0,0.0,0.5,2
nvbench2:dev:384,gemma3:27b,direct_rich,bar,1.0,1.0,1.0,1.0,1.0,1.0,1
nvbench2:dev:388,gemma3:27b,direct_rich,rect,1.0,1.0,1.0,1.0,0.0,0.0,1
nvbench2:dev:394,gemma3:27b,direct_rich,arc,1.0,1.0,1.0,1.0,0.0,0.0,1
nvbench2:dev:398,gemma3:27b,direct_rich,line,1.0,1.0,1.0,1.0,1.0,1.0,1
nvbench2:dev:403,gemma3:27b,direct_rich,point,1.0,1.0,1.0,1.0,1.0,1.0,4
nvbench2:dev:405,gemma3:27b,direct_rich,bar,1.0,1.0,1.0,1.0,1.0,1.0,3
nvbench2:dev:421,gemma3:27b,direct_rich,arc,1.0,1.0,1.0,1.0,0.0,0.0,1
nvbench2:dev:422,gemma3:27b,direct_rich,arc,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,3
nvbench2:dev:436,gemma3:27b,direct_rich,point,1.0,1.0,1.0,1.0,0.0,0.0,2
nvbench2:dev:444,gemma3:27b,direct_rich,point,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,3
nvbench2:dev:445,gemma3:27b,direct_rich,boxplot,1.0,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,3
nvbench2:dev:455,gemma3:27b,direct_rich,bar,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,3
nvbench2:dev:457,gemma3:27b,direct_rich,arc,1.0,1.0,1.0,1.0,0.0,0.0,2
nvbench2:dev:462,gemma3:27b,direct_rich,bar,1.0,1.0,1.0,1.0,1.0,0.5,2
nvbench2:dev:463,gemma3:27b,direct_rich,bar+line+point,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,3
nvbench2:dev:465,gemma3:27b,direct_rich,arc,1.0,1.0,1.0,1.0,0.0,0.0,3
nvbench2:dev:470,gemma3:27b,direct_rich,boxplot,1.0,1.0,1.0,1.0,1.0,1.0,1
nvbench2:dev:475,gemma3:27b,direct_rich,bar+line,1.0,1.0,1.0,1.0,1.0,0.75,4
nvbench2:dev:485,gemma3:27b,direct_rich,bar,1.0,0.0,0.0,0.0,0.0,0.2,5
nvbench2:dev:492,gemma3:27b,direct_rich,arc,1.0,1.0,1.0,1.0,0.0,0.0,3
nvbench2:dev:495,gemma3:27b,direct_rich,boxplot,1.0,1.0,1.0,1.0,1.0,1.0,1
nvbench2:dev:498,gemma3:27b,direct_rich,arc,1.0,1.0,1.0,1.0,0.0,0.0,4
