record_id,index,model,condition,seed,temperature,parse_success,candidate_count,valid_candidate_count,any_candidate,any_valid_candidate,all_candidates_valid,elapsed_seconds,gold_count_raw,gold_count_canonical,ambiguity_group,gold_family,raw_mrr,raw_hit@1,raw_recall@1,raw_precision@1,raw_f1@1,raw_hit@3,raw_recall@3,raw_precision@3,raw_f1@3,raw_hit@5,raw_recall@5,raw_precision@5,raw_f1@5,valid_mrr,valid_hit@1,valid_recall@1,valid_precision@1,valid_f1@1,valid_hit@3,valid_recall@3,valid_precision@3,valid_f1@3,valid_hit@5,valid_recall@5,valid_precision@5,valid_f1@5,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,best5_mark,best5_channels,best5_fields,best5_operations,best5_filters,best5_macro,graded_ndcg@5
nvbench-v1:2523@y_name@ASC,20,qwen3:14b,direct,69,0.0,1.0,5,0,1.0,0.0,0.0,7.261548300040886,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.8333333333333333,1.0,1.0,0.6666666666666666,0.5,1.0,0.8333333333333333,2.157914763341737
nvbench-v1:2750@y_name@ASC,21,qwen3:14b,direct,69,0.0,1.0,4,0,1.0,0.0,0.0,5.6446149999974295,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.8333333333333333,1.0,1.0,0.6666666666666666,0.5,1.0,0.8333333333333333,1.8247703165751528
nvbench-v1:2829@y_name@DESC,22,qwen3:14b,direct,69,0.0,1.0,5,0,1.0,0.0,0.0,8.481267500086688,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7499999999999999,0.0,0.0,1.0,0.55,1.0,0.7499999999999999,0.25,0.0,1.0,0.6,1.4009131545944802
nvbench-v1:3088,23,qwen3:14b,direct,69,0.0,1.0,5,0,1.0,0.0,0.0,6.141215099953115,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8,1.0,1.0,1.0,0.0,1.0,0.8,1.8856280627390343
nvbench-v1:3091,24,qwen3:14b,direct,69,0.0,1.0,5,0,1.0,0.0,0.0,6.123736200039275,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8,1.0,1.0,1.0,0.0,1.0,0.8,2.185106374712705
nvbench-v1:3092@y_name@DESC,25,qwen3:14b,direct,69,0.0,1.0,5,0,1.0,0.0,0.0,6.433251400012523,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6,1.0,1.0,0.0,0.0,1.0,0.6,1.5027188115817207
nvbench-v1:680,26,qwen3:14b,direct,69,0.0,1.0,5,0,1.0,0.0,0.0,5.450417299987748,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.9333333333333332,1.0,1.0,0.6666666666666666,1.0,1.0,0.9333333333333332,2.5141320823787803
nvbench-v1:777@y_name@DESC,27,qwen3:14b,direct,69,0.0,1.0,5,0,1.0,0.0,0.0,7.594974700012244,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.5714285714285715,0.0,1.0,0.6857142857142857,1.0,0.8571428571428571,0.5714285714285715,0.0,1.0,0.6857142857142857,1.794131948859022
nvbench-v1:780,28,qwen3:14b,direct,69,0.0,1.0,5,4,1.0,1.0,0.0,8.843734800000675,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.9,1.0,1.0,1.0,0.5,1.0,0.9,2.4123606195754026
nvbench-v1:927,29,qwen3:14b,direct,69,0.0,1.0,5,5,1.0,1.0,1.0,6.965390600031242,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.9,1.0,1.0,1.0,0.5,1.0,0.9,2.373622845264178
nvbench-v1:1073,30,qwen3:14b,direct,69,0.0,1.0,5,0,1.0,0.0,0.0,3.035355999949388,1,1,single_gold,arc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.9,1.0,1.0,0.5,1.0,1.0,0.9,2.3100712311940717
