model,condition,seed,temperature,ambiguity_group,n,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
mistral-small:24b,direct,55,0.0,multi_gold,447,0.9932885906040269,2.6308724832214767,2.161073825503356,0.8053691275167785,0.7695749440715883,0.8411633109619687,0.697986577181208,11.928361557267024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8993288590604027,0.8975391498881432,0.569351230425056,0.5480984340044742,0.7181208053691275,0.7264876957494407,0.705100298284862,0.7462065622669649,0.7736848833493128,0.7533411100458081,0.7931090337701076,0.5900002977664719
mistral-small:24b,direct,55,0.0,single_gold,3,1.0,2.0,1.0,1.0,1.0,1.0,0.0,8.045914300018921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,0.0,1.0,0.72,0.72,0.72,0.72,0.72,0.72,0.9209773122268128
mistral-small:24b,staged,44,0.0,multi_gold,26,1.0,1.1923076923076923,0.8461538461538461,0.6538461538461539,0.46153846153846156,0.8076923076923077,0.6538461538461539,48.20285330767421,0.11538461538461539,0.0,0.23076923076923078,0.11538461538461539,0.11538461538461539,0.0,0.2692307692307692,0.028846153846153848,0.11538461538461539,0.0,0.23076923076923078,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.8076923076923077,0.9051282051282051,0.38461538461538464,0.19230769230769232,0.7307692307692307,0.6041025641025641,0.4953717948717949,0.7053846153846154,0.6041025641025641,0.5038333333333334,0.7189935897435896,0.256789239923791
mistral-small:24b,staged,55,0.0,multi_gold,149,1.0,1.2281879194630871,0.6644295302013423,0.47651006711409394,0.40268456375838924,0.5570469798657718,0.46308724832214765,25.47637546577275,0.0738255033557047,0.03355704697986577,0.12080536912751678,0.0738255033557047,0.0738255033557047,0.03355704697986577,0.12080536912751678,0.026957494407158836,0.0738255033557047,0.03355704697986577,0.12080536912751678,0.0738255033557047,0.0738255033557047,0.0738255033557047,0.8926174496644296,0.9222435282837967,0.5389581335890061,0.5212527964205816,0.6375838926174496,0.7025311601150527,0.6660990731863214,0.7385564077980186,0.7092873122403324,0.6753704058804729,0.7450402684563759,0.36363944482035304
mistral-small:24b,staged,55,0.0,single_gold,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.86477390001528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6624757922855755
phi3.5:latest,direct,42,0.0,multi_gold,5,0.6,1.6,1.0,0.2,0.0,0.6,0.2,3.154138380032964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.6,0.32,0.08,0.5599999999999999,0.33599999999999997,0.096,0.576,0.18660702596847162
phi3.5:latest,direct,43,0.0,multi_gold,1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.582874599960633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.32834768126076275
phi3.5:latest,direct,44,0.0,multi_gold,10,0.8,3.0,1.9,0.6,0.3,0.9,0.3,8.309420190006495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.30666666666666664,0.1,0.4,0.8,0.42133333333333334,0.236,0.6200333333333331,0.46799999999999997,0.26266666666666666,0.69,0.35847470995374253
phi3.5:latest,staged,44,0.0,multi_gold,10,1.0,2.5,0.3,0.3,0.1,0.6,0.1,7.503867750009522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5566666666666666,0.27,0.4,0.3,0.42533333333333334,0.3053166666666667,0.546,0.53,0.45995,0.6,0.27152334869781575
qwen3:14b,direct,101,0.2,multi_gold,149,1.0,3.738255033557047,1.9664429530201342,0.5436241610738255,0.46308724832214765,0.6241610738255033,0.4228187919463087,3.694541450332844,0.0,0.0,0.0,0.006711409395973154,0.020134228187919462,0.0,0.04697986577181208,0.01174496644295302,0.0052572706935123045,0.0,0.012192393736017897,0.006711409395973154,0.020134228187919462,0.011185682326621923,0.8859060402684564,0.9333972515180569,0.4899328859060403,0.537807606263982,0.6912751677852349,0.7076637903483541,0.6760679130712688,0.7419725151805688,0.734784276126558,0.7028373282198785,0.7662844359220198,0.6969606904072623
