model,condition,seed,temperature,gold_family,n,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
llama3.2:3b,staged,44,0.0,boxplot,4,1.0,1.75,0.0,0.0,0.0,0.0,0.0,13.115738774969941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.775,0.25,0.25,0.635,0.52,0.8054999999999973,0.635,0.52,0.805,0.3103884665906411
llama3.2:3b,staged,44,0.0,point,3,1.0,3.6666666666666665,1.0,0.6666666666666666,0.0,1.0,0.0,15.556642733320283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.7555555555555555,0.1111111111111111,0.0,0.6666666666666666,0.37333333333333335,0.36,0.4,0.5066666666666666,0.36,0.6,0.33816289224683305
llama3.2:3b,staged,55,0.0,arc,40,1.0,2.6,0.3,0.15,0.05,0.275,0.025,8.877129240574993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.14,0.04833333333333333,0.05,0.6,0.22766666666666666,0.17364166666666667,0.2833333333333333,0.3135,0.24682916666666668,0.38016666666666665,0.1872960400934502
llama3.2:3b,staged,55,0.0,arc+bar+line,1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.437355749999938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.31702275594719825
llama3.2:3b,staged,55,0.0,bar,22,1.0,2.1363636363636362,0.09090909090909091,0.09090909090909091,0.0,0.22727272727272727,0.0,8.516935674227282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8329004329004329,0.3054112554112554,0.16666666666666666,0.36363636363636365,0.5337229437229437,0.48843939393939395,0.5828214285714285,0.5337229437229437,0.48714285714285716,0.5836385281385281,0.32615087375138474
llama3.2:3b,staged,55,0.0,bar+line,3,1.0,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333,9.552602986333307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8666666666666667,0.13333333333333333,0.0,0.6666666666666666,0.5333333333333333,0.4,0.64,0.5333333333333333,0.4,0.64,0.2749290591602789
llama3.2:3b,staged,55,0.0,bar+line+point,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.764316582999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.2013254590160842
llama3.2:3b,staged,55,0.0,bar+line+rect,4,1.0,1.5,0.0,0.0,0.0,0.0,0.0,7.960751187500023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65,0.2833333333333333,0.16666666666666666,0.25,0.47000000000000003,0.2665,0.69,0.47000000000000003,0.26666666666666666,0.69,0.1623933324692013
llama3.2:3b,staged,55,0.0,boxplot,23,1.0,2.782608695652174,0.6521739130434783,0.21739130434782608,0.043478260869565216,0.391304347826087,0.0,9.225100443739144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130434782608695,0.8840579710144928,0.26521739130434785,0.2608695652173913,0.5217391304347826,0.5689855072463768,0.4973840579710145,0.6429057971014491,0.5736231884057971,0.507231884057971,0.6423478260869564,0.40632087602923017
llama3.2:3b,staged,55,0.0,line,16,1.0,3.0,0.4375,0.3125,0.125,0.5625,0.0,9.249315156312512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.925,0.40625,0.0625,0.5,0.55375,0.4891666666666667,0.6254270833333334,0.5808333333333333,0.5125000000000001,0.6525104166666665,0.33932103844576156
llama3.2:3b,staged,55,0.0,point,13,1.0,2.8461538461538463,0.7692307692307693,0.23076923076923078,0.0,0.46153846153846156,0.0,9.483120557846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.8322344322344323,0.2673992673992674,0.0,0.46153846153846156,0.38915750915750913,0.31457142857142856,0.46389010989010987,0.45069597069597067,0.36615384615384616,0.5386080586080586,0.31009529405125946
llama3.2:3b,staged,55,0.0,rect,27,1.0,2.3333333333333335,0.14814814814814814,0.07407407407407407,0.0,0.18518518518518517,0.0,8.746982519962964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.9005291005291005,0.43421516754850087,0.06172839506172839,0.3333333333333333,0.39040564373897707,0.3410793650793651,0.44310934744268077,0.4304056437389771,0.37156966490299825,0.48867724867724865,0.27089256928642164
mistral-small:24b,direct,42,0.0,arc,1,1.0,2.0,2.0,1.0,1.0,1.0,1.0,7.689436300075613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4270048100296885
mistral-small:24b,direct,42,0.0,boxplot,3,1.0,2.6666666666666665,2.6666666666666665,1.0,1.0,1.0,1.0,18.80278953331678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.6,0.7,0.7666666666666666,0.6,1.0,0.5561688182932936
mistral-small:24b,direct,42,0.0,point,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5854050000198185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.36,0.36,0.36,0.36,0.36,0.36,0.0961267855972935
mistral-small:24b,direct,44,0.0,arc,2,1.0,1.5,1.0,1.0,1.0,1.0,0.5,7.7962037500110455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.5,0.5666666666666667,0.4,0.7333333333333333,0.5666666666666667,0.4,0.7333333333333333,0.24557373575267177
mistral-small:24b,direct,44,0.0,bar,1,1.0,5.0,5.0,1.0,1.0,1.0,1.0,22.603417999926023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.6562777569976637
mistral-small:24b,direct,44,0.0,boxplot,4,1.0,4.0,4.0,1.0,1.0,1.0,1.0,24.69219579998753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.0,1.0,0.6499999999999999,0.6,0.7,0.75,0.625,0.925,0.6421846664050838
mistral-small:24b,direct,44,0.0,point,3,1.0,3.6666666666666665,2.6666666666666665,0.6666666666666666,0.0,1.0,0.3333333333333333,17.803317466673132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.7555555555555555,0.0,0.0,0.6666666666666666,0.3511111111111111,0.3333333333333333,0.36,0.5066666666666666,0.36,0.6,0.3240348322374637
mistral-small:24b,direct,55,0.0,arc,120,1.0,2.275,1.825,0.725,0.65,0.8,0.675,9.040505422500427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925,0.9166666666666666,0.6208333333333333,0.6166666666666667,0.8,0.7758333333333334,0.7302777777777778,0.8177847222222222,0.8223333333333334,0.7796069444444444,0.8587777777777778,0.5641157291894019
mistral-small:24b,direct,55,0.0,arc+bar+line,3,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.989481099997647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7653606369886217
mistral-small:24b,direct,55,0.0,bar,66,0.9545454545454546,2.3181818181818183,1.7272727272727273,0.7727272727272727,0.6666666666666666,0.8636363636363636,0.6363636363636364,12.245494401511017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.8181818181818182,0.7000000000000001,0.8712121212121212,0.7272727272727273,0.8142424242424242,0.7573712121212122,0.8617323232323231,0.8303030303030303,0.7717121212121213,0.8787979797979798,0.7235844594590488
mistral-small:24b,direct,55,0.0,bar+line,9,1.0,4.0,4.0,1.0,1.0,1.0,1.0,15.434682133335931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8666666666666667,0.13333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.591111111111111,0.7511111111111112,0.7866666666666666,0.6977777777777777,0.8666666666666667,0.7677454425944593
mistral-small:24b,direct,55,0.0,bar+line+point,3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,17.13631979993079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.4,0.6666666666666666,0.0,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.31067397995195833
mistral-small:24b,direct,55,0.0,bar+line+rect,12,1.0,4.5,4.5,1.0,1.0,1.0,1.0,17.125898425030755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,1.0,0.75,0.8699999999999999,0.82,0.9033333333333333,0.9099999999999999,0.8666666666666667,0.9467499999999995,0.7024930611824435
mistral-small:24b,direct,55,0.0,boxplot,69,1.0,2.608695652173913,2.217391304347826,0.9130434782608695,0.8405797101449275,0.9710144927536232,0.6956521739130435,10.506975034763025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130434782608695,0.9420289855072463,0.3695652173913043,0.17391304347826086,0.7391304347826086,0.6275362318840579,0.5937198067632851,0.6613526570048309,0.7159420289855072,0.6777777777777778,0.7517028985507246,0.5775296023694265
mistral-small:24b,direct,55,0.0,line,48,1.0,2.0625,1.875,0.875,0.7708333333333334,0.9583333333333334,0.8125,8.846043787503731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.95,0.8875,0.8333333333333334,0.625,0.8466666666666667,0.8077777777777778,0.884451388888889,0.8591666666666666,0.8194374999999999,0.8991666666666667,0.5268232520869665
mistral-small:24b,direct,55,0.0,point,39,1.0,3.076923076923077,2.1538461538461537,0.6153846153846154,0.46153846153846156,0.7692307692307693,0.5384615384615384,15.911877730753845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.7692307692307693,0.14102564102564102,0.07692307692307693,0.6923076923076923,0.45897435897435895,0.3963974358974359,0.5232478632478632,0.5368498168498168,0.4670982905982906,0.6116306471306471,0.4041071009729846
mistral-small:24b,direct,55,0.0,rect,81,1.0,3.1481481481481484,2.6296296296296298,0.8888888888888888,0.8148148148148148,0.9506172839506173,0.7037037037037037,15.754285729632507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.9407407407407408,0.5876543209876544,0.47530864197530864,0.6296296296296297,0.7044444444444444,0.6604074074074074,0.7455185185185186,0.7434567901234568,0.6996646090534979,0.7872448559670782,0.6367609634727842
mistral-small:24b,staged,44,0.0,arc,5,1.0,1.0,0.6,0.6,0.2,1.0,0.6,38.33723745997995,0.6,0.2,1.0,0.6,0.6,0.2,1.0,0.15,0.6,0.2,1.0,0.6,0.6,0.6,1.0,1.0,0.6,0.6,0.6,0.76,0.52,1.0,0.76,0.52,1.0,0.3125901814179637
mistral-small:24b,staged,44,0.0,bar,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.615554299904034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.2513520102235351
mistral-small:24b,staged,44,0.0,boxplot,11,1.0,1.4545454545454546,1.4545454545454546,1.0,1.0,1.0,1.0,55.50074683634607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.45454545454545453,0.18181818181818182,1.0,0.7272727272727273,0.6545454545454545,0.8090909090909091,0.7272727272727273,0.6545454545454545,0.8090909090909091,0.359166569614365
mistral-small:24b,staged,44,0.0,point,8,1.0,1.0,0.125,0.125,0.0,0.375,0.125,49.73108436250186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.6916666666666667,0.0,0.0,0.375,0.28833333333333333,0.21666666666666667,0.345,0.28833333333333333,0.21666666666666667,0.345,0.08250413059045769
mistral-small:24b,staged,55,0.0,arc,40,1.0,1.1,0.525,0.45,0.3,0.6,0.425,23.27764813748945,0.175,0.075,0.3,0.175,0.175,0.075,0.3,0.07708333333333334,0.175,0.075,0.3,0.175,0.175,0.175,0.925,0.9266666666666666,0.5958333333333333,0.675,0.675,0.7595,0.6813291666666667,0.8320124999999999,0.7595,0.6745,0.8328458333333333,0.4063019152207191
mistral-small:24b,staged,55,0.0,arc+bar+line,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.943815500009805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.40642634118843207
