condition,record_id,gold_family,left_seed,right_seed,top1_agreement,candidate_set_jaccard,valid_set_jaccard,rank_biased_overlap_p90
direct,nvbench2:test:174,boxplot,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:174,boxplot,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:178,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:178,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:178,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:183,bar,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:183,bar,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:183,bar,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:192,point,101,202,1.0,0.42857142857142855,0.42857142857142855,0.719335
direct,nvbench2:test:192,point,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:192,point,202,303,1.0,0.42857142857142855,0.42857142857142855,0.719335
direct,nvbench2:test:194,boxplot,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:194,boxplot,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:194,boxplot,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:201,bar,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:201,bar,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:201,bar,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:223,boxplot,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:223,boxplot,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:223,boxplot,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:227,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:227,line,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:227,line,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:236,boxplot,101,202,1.0,0.1111111111111111,0.1111111111111111,0.321445
direct,nvbench2:test:236,boxplot,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:236,boxplot,202,303,1.0,0.1111111111111111,0.1111111111111111,0.321445
direct,nvbench2:test:238,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:238,line,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:238,line,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:252,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:252,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:252,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:254,point,101,202,1.0,0.6666666666666666,0.6666666666666666,0.8687799999999999
direct,nvbench2:test:254,point,101,303,1.0,0.6666666666666666,0.6666666666666666,0.8687799999999999
direct,nvbench2:test:254,point,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:263,boxplot,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:263,boxplot,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:263,boxplot,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:268,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:268,rect,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:268,rect,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:287,point,101,202,1.0,1.0,1.0,0.9730000000000001
direct,nvbench2:test:287,point,101,303,1.0,1.0,1.0,0.9730000000000001
direct,nvbench2:test:287,point,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:296,bar+line+rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:296,bar+line+rect,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:296,bar+line+rect,202,303,1.0,1.0,1.0,1.0
