model,pool_name,seed,temperature,K,n,pool_hit,pool_recall,pool_precision,pool_f1
mistral-small:24b,staged,77,0.0,18,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
mistral-small:24b,staged,77,0.0,19,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
mistral-small:24b,staged,77,0.0,20,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
mistral-small:24b,union,77,0.0,1,150,0.16666666666666666,0.05444444444444444,0.16666666666666666,0.08044444444444444
mistral-small:24b,union,77,0.0,2,150,0.22666666666666666,0.07822222222222222,0.11333333333333333,0.09
mistral-small:24b,union,77,0.0,3,150,0.26666666666666666,0.09422222222222222,0.08888888888888888,0.08865079365079365
mistral-small:24b,union,77,0.0,4,150,0.2866666666666667,0.10611111111111111,0.07722222222222222,0.08652380952380953
mistral-small:24b,union,77,0.0,5,150,0.29333333333333333,0.11444444444444445,0.06788888888888889,0.08213756613756615
mistral-small:24b,union,77,0.0,6,150,0.30666666666666664,0.12388888888888888,0.0641111111111111,0.08112506012506013
mistral-small:24b,union,77,0.0,7,150,0.31333333333333335,0.13,0.06141269841269841,0.07982876382876383
mistral-small:24b,union,77,0.0,8,150,0.31333333333333335,0.13,0.05796031746031746,0.07638198838198838
mistral-small:24b,union,77,0.0,9,150,0.31333333333333335,0.13166666666666665,0.05657142857142857,0.07518851518851519
mistral-small:24b,union,77,0.0,10,150,0.31333333333333335,0.13166666666666665,0.05508994708994709,0.07356347356347356
mistral-small:24b,union,77,0.0,11,150,0.31333333333333335,0.13166666666666665,0.054180856180856184,0.07254821104821105
mistral-small:24b,union,77,0.0,12,150,0.32,0.135,0.05428186628186628,0.0729739813563343
mistral-small:24b,union,77,0.0,13,150,0.32,0.13666666666666666,0.05445280645280645,0.07333096859567448
mistral-small:24b,union,77,0.0,14,150,0.32,0.13666666666666666,0.0541963961963962,0.07301420446312087
mistral-small:24b,union,77,0.0,15,150,0.32,0.13666666666666666,0.054005920005920006,0.07276652644454502
mistral-small:24b,union,77,0.0,16,150,0.32,0.13666666666666666,0.05392258667258667,0.07266126328665029
mistral-small:24b,union,77,0.0,17,150,0.32,0.13666666666666666,0.05384905726082197,0.0725660251914122
mistral-small:24b,union,77,0.0,18,150,0.32,0.13666666666666666,0.05384905726082197,0.0725660251914122
mistral-small:24b,union,77,0.0,19,150,0.32,0.13666666666666666,0.05384905726082197,0.0725660251914122
mistral-small:24b,union,77,0.0,20,150,0.32,0.13666666666666666,0.05384905726082197,0.0725660251914122
qwen3:14b,direct,77,0.0,1,150,0.02,0.008,0.02,0.011111111111111112
qwen3:14b,direct,77,0.0,2,150,0.07333333333333333,0.027444444444444445,0.03666666666666667,0.030793650793650793
qwen3:14b,direct,77,0.0,3,150,0.09333333333333334,0.033777777777777775,0.03111111111111111,0.03158730158730159
qwen3:14b,direct,77,0.0,4,150,0.13333333333333333,0.043666666666666666,0.034999999999999996,0.0377989417989418
qwen3:14b,direct,77,0.0,5,150,0.14,0.05422222222222222,0.035,0.041201058201058204
qwen3:14b,direct,77,0.0,6,150,0.14,0.05422222222222222,0.03166666666666666,0.038435786435786434
qwen3:14b,direct,77,0.0,7,150,0.14666666666666667,0.05977777777777778,0.031507936507936506,0.03941895141895142
qwen3:14b,direct,77,0.0,8,150,0.14666666666666667,0.06144444444444444,0.030793650793650793,0.03905686905686906
qwen3:14b,direct,77,0.0,9,150,0.14666666666666667,0.06144444444444444,0.029682539682539682,0.0378984718984719
qwen3:14b,direct,77,0.0,10,150,0.14666666666666667,0.06144444444444444,0.029015873015873016,0.03718207718207718
qwen3:14b,direct,77,0.0,11,150,0.14666666666666667,0.06144444444444444,0.02859163059163059,0.036711991711991715
qwen3:14b,direct,77,0.0,12,150,0.14666666666666667,0.0631111111111111,0.028894660894660893,0.037258210199386674
qwen3:14b,direct,77,0.0,13,150,0.14666666666666667,0.0631111111111111,0.028638250638250637,0.03695646727999669
qwen3:14b,direct,77,0.0,14,150,0.14666666666666667,0.0631111111111111,0.028455100455100454,0.036727709110062054
qwen3:14b,direct,77,0.0,15,150,0.14666666666666667,0.0631111111111111,0.028359862359862358,0.036610750045734566
qwen3:14b,direct,77,0.0,16,150,0.14666666666666667,0.0631111111111111,0.028276529026529027,0.036505486887839826
qwen3:14b,direct,77,0.0,17,150,0.14666666666666667,0.0631111111111111,0.028276529026529027,0.036505486887839826
qwen3:14b,direct,77,0.0,18,150,0.14666666666666667,0.0631111111111111,0.028276529026529027,0.036505486887839826
qwen3:14b,direct,77,0.0,19,150,0.14666666666666667,0.0631111111111111,0.028276529026529027,0.036505486887839826
qwen3:14b,direct,77,0.0,20,150,0.14666666666666667,0.0631111111111111,0.028276529026529027,0.036505486887839826
qwen3:14b,staged,77,0.0,1,150,0.18666666666666668,0.06555555555555556,0.18666666666666668,0.0951111111111111
qwen3:14b,staged,77,0.0,2,150,0.24666666666666667,0.08844444444444445,0.16666666666666666,0.11101587301587301
qwen3:14b,staged,77,0.0,3,150,0.28,0.09866666666666667,0.16444444444444445,0.11490476190476191
qwen3:14b,staged,77,0.0,4,150,0.28,0.112,0.16555555555555557,0.12032804232804233
qwen3:14b,staged,77,0.0,5,150,0.29333333333333333,0.11755555555555555,0.1668888888888889,0.12296825396825398
qwen3:14b,staged,77,0.0,6,150,0.29333333333333333,0.11755555555555555,0.166,0.12224963924963925
qwen3:14b,staged,77,0.0,7,150,0.29333333333333333,0.11755555555555555,0.16568253968253968,0.12187926887926888
qwen3:14b,staged,77,0.0,8,150,0.29333333333333333,0.11755555555555555,0.16544444444444445,0.12158297258297258
qwen3:14b,staged,77,0.0,9,150,0.29333333333333333,0.11755555555555555,0.16525925925925924,0.12134054834054835
qwen3:14b,staged,77,0.0,10,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
qwen3:14b,staged,77,0.0,11,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
qwen3:14b,staged,77,0.0,12,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
qwen3:14b,staged,77,0.0,13,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
qwen3:14b,staged,77,0.0,14,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
qwen3:14b,staged,77,0.0,15,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
qwen3:14b,staged,77,0.0,16,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
qwen3:14b,staged,77,0.0,17,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
qwen3:14b,staged,77,0.0,18,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
qwen3:14b,staged,77,0.0,19,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
qwen3:14b,staged,77,0.0,20,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
qwen3:14b,union,77,0.0,1,150,0.16666666666666666,0.05444444444444444,0.16666666666666666,0.08044444444444444
qwen3:14b,union,77,0.0,2,150,0.22666666666666666,0.07822222222222222,0.11333333333333333,0.09
qwen3:14b,union,77,0.0,3,150,0.26666666666666666,0.09422222222222222,0.08888888888888888,0.08865079365079365
qwen3:14b,union,77,0.0,4,150,0.2866666666666667,0.10611111111111111,0.07722222222222222,0.08652380952380953
qwen3:14b,union,77,0.0,5,150,0.29333333333333333,0.11444444444444445,0.06788888888888889,0.08213756613756615
qwen3:14b,union,77,0.0,6,150,0.30666666666666664,0.12388888888888888,0.0641111111111111,0.08112506012506013
qwen3:14b,union,77,0.0,7,150,0.31333333333333335,0.13,0.06141269841269841,0.07982876382876383
qwen3:14b,union,77,0.0,8,150,0.31333333333333335,0.13,0.05796031746031746,0.07638198838198838
qwen3:14b,union,77,0.0,9,150,0.31333333333333335,0.13166666666666665,0.05657142857142857,0.07518851518851519
qwen3:14b,union,77,0.0,10,150,0.31333333333333335,0.13166666666666665,0.05508994708994709,0.07356347356347356
qwen3:14b,union,77,0.0,11,150,0.31333333333333335,0.13166666666666665,0.054180856180856184,0.07254821104821105
qwen3:14b,union,77,0.0,12,150,0.32,0.135,0.05428186628186628,0.0729739813563343
qwen3:14b,union,77,0.0,13,150,0.32,0.13666666666666666,0.05445280645280645,0.07333096859567448
qwen3:14b,union,77,0.0,14,150,0.32,0.13666666666666666,0.0541963961963962,0.07301420446312087
qwen3:14b,union,77,0.0,15,150,0.32,0.13666666666666666,0.054005920005920006,0.07276652644454502
qwen3:14b,union,77,0.0,16,150,0.32,0.13666666666666666,0.05392258667258667,0.07266126328665029
qwen3:14b,union,77,0.0,17,150,0.32,0.13666666666666666,0.05384905726082197,0.0725660251914122
qwen3:14b,union,77,0.0,18,150,0.32,0.13666666666666666,0.05384905726082197,0.0725660251914122
qwen3:14b,union,77,0.0,19,150,0.32,0.13666666666666666,0.05384905726082197,0.0725660251914122
qwen3:14b,union,77,0.0,20,150,0.32,0.13666666666666666,0.05384905726082197,0.0725660251914122
