record_id,model,condition,gold_family,emitted_count,unique_count,done_reason,generated_tokens,token_limit_completion,emit_0,emit_1,emit_2,emit_3,emit_4,emit_5
nvbench2:dev:332,gemma3:27b,direct,arc,2,2,stop,68,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:336,gemma3:27b,direct,arc,3,3,stop,83,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:338,gemma3:27b,direct,rect,2,2,stop,80,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:340,gemma3:27b,direct,rect,2,2,stop,56,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:346,gemma3:27b,direct,bar+line+rect,3,3,stop,151,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:358,gemma3:27b,direct,bar,3,3,stop,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:362,gemma3:27b,direct,rect,3,3,stop,103,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:367,gemma3:27b,direct,bar,2,2,stop,72,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:381,gemma3:27b,direct,rect,2,2,stop,68,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:383,gemma3:27b,direct,rect,2,2,stop,52,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:384,gemma3:27b,direct,bar,2,2,stop,136,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:388,gemma3:27b,direct,rect,3,3,stop,102,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:394,gemma3:27b,direct,arc,2,2,stop,56,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:398,gemma3:27b,direct,line,2,2,stop,48,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:403,gemma3:27b,direct,point,5,5,stop,234,0.0,0.0,0.0,0.0,0.0,0.0,1.0
nvbench2:dev:405,gemma3:27b,direct,bar,3,3,stop,79,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:421,gemma3:27b,direct,arc,1,1,stop,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:422,gemma3:27b,direct,arc,4,4,stop,209,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nvbench2:dev:436,gemma3:27b,direct,point,2,2,stop,52,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:444,gemma3:27b,direct,point,5,5,stop,284,0.0,0.0,0.0,0.0,0.0,0.0,1.0
nvbench2:dev:445,gemma3:27b,direct,boxplot,1,1,stop,22,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:455,gemma3:27b,direct,bar,2,2,stop,57,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:457,gemma3:27b,direct,arc,2,2,stop,61,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:462,gemma3:27b,direct,bar,2,2,stop,54,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:463,gemma3:27b,direct,bar+line+point,3,3,stop,330,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:465,gemma3:27b,direct,arc,1,1,stop,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:470,gemma3:27b,direct,boxplot,2,2,stop,50,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:475,gemma3:27b,direct,bar+line,2,2,stop,69,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:485,gemma3:27b,direct,bar,2,2,stop,110,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:492,gemma3:27b,direct,arc,2,2,stop,55,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:495,gemma3:27b,direct,boxplot,2,2,stop,54,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:498,gemma3:27b,direct,arc,2,2,stop,72,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:499,gemma3:27b,direct,line,2,2,stop,66,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:507,gemma3:27b,direct,rect,2,2,stop,75,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:508,gemma3:27b,direct,arc,2,2,stop,66,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:515,gemma3:27b,direct,line,2,2,stop,164,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:531,gemma3:27b,direct,bar,3,3,stop,99,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:538,gemma3:27b,direct,arc,2,2,stop,48,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:540,gemma3:27b,direct,bar,2,2,stop,62,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:551,gemma3:27b,direct,line,2,2,stop,65,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:554,gemma3:27b,direct,point,1,1,stop,31,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:562,gemma3:27b,direct,bar,1,1,stop,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:568,gemma3:27b,direct,line,2,2,stop,68,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:571,gemma3:27b,direct,rect,1,1,stop,131,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:572,gemma3:27b,direct,bar,2,2,stop,66,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:573,gemma3:27b,direct,point,3,3,stop,60,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:603,gemma3:27b,direct,rect,2,2,stop,53,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:605,gemma3:27b,direct,line,2,2,stop,70,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:606,gemma3:27b,direct,bar,1,1,stop,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:612,gemma3:27b,direct,arc,3,3,stop,71,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:614,gemma3:27b,direct,bar,3,3,stop,131,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:628,gemma3:27b,direct,rect,4,4,stop,358,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nvbench2:dev:641,gemma3:27b,direct,rect,2,2,stop,94,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:642,gemma3:27b,direct,line,2,2,stop,80,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:644,gemma3:27b,direct,bar+line,3,3,stop,124,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:647,gemma3:27b,direct,bar,2,2,stop,79,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:651,gemma3:27b,direct,bar,4,4,stop,123,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nvbench2:dev:655,gemma3:27b,direct,line,3,3,stop,151,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:666,gemma3:27b,direct,line,2,2,stop,70,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:672,gemma3:27b,direct,bar,2,2,stop,69,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:675,gemma3:27b,direct,bar,3,3,stop,66,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:681,gemma3:27b,direct,bar,3,3,stop,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:683,gemma3:27b,direct,bar,4,4,stop,165,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nvbench2:dev:684,gemma3:27b,direct,bar,3,3,stop,85,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:713,gemma3:27b,direct,bar,3,3,stop,138,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:715,gemma3:27b,direct,point,2,2,stop,69,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:716,gemma3:27b,direct,boxplot,3,3,stop,71,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:717,gemma3:27b,direct,boxplot,3,3,stop,53,0.0,0.0,0.0,0.0,1.0,0.0,0.0
