record_id,model,condition,gold_family,gold_count,candidate_count,exact_recall@5,core_recall@5,component_identical_recall@5,matched_recall@5_tau80,matched_recall@5_tau90,exact_recovered,core_recovered,component_identical_recovered,matched_recovered_tau80,matched_recovered_tau90,elapsed_seconds,prompt_tokens,generated_tokens,total_tokens
nvbench2:dev:286,gemma3:27b,direct,bar,2,3,0.0,0.0,0.0,1.0,0.5,0,0,0,2,1,6.654939292000051,569,70,639
nvbench2:dev:292,gemma3:27b,direct,rect,2,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.429373374999955,601,146,747
nvbench2:dev:296,gemma3:27b,direct,bar,2,3,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,7.79789008299997,570,92,662
nvbench2:dev:298,gemma3:27b,direct,bar,2,3,0.0,0.0,0.0,1.0,0.0,0,0,0,2,0,8.17105137499999,573,101,674
nvbench2:dev:300,gemma3:27b,direct,arc,2,4,0.0,0.0,0.0,1.0,0.0,0,0,0,2,0,10.367452000000014,564,154,718
nvbench2:dev:302,gemma3:27b,direct,rect,3,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.722460499999954,365,80,445
nvbench2:dev:307,gemma3:27b,direct,rect,3,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,13.156549041999995,383,228,611
nvbench2:dev:314,gemma3:27b,direct,arc,2,1,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,4.097035542000015,411,43,454
nvbench2:dev:315,gemma3:27b,direct,bar,2,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.065876709000008,415,121,536
nvbench2:dev:317,gemma3:27b,direct,rect,2,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,12.445397291000006,430,204,634
nvbench2:dev:319,gemma3:27b,direct,boxplot,5,2,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,5.595720166999968,413,68,481
nvbench2:dev:326,gemma3:27b,direct,rect,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.652839040999993,332,62,394
nvbench2:dev:327,gemma3:27b,direct,boxplot,2,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.295398750000004,315,77,392
nvbench2:dev:331,gemma3:27b,direct,bar,4,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.634241083999996,335,62,397
